dataset,seed,primary,horizon,comparator,advantage,ci_lo,ci_hi,sig
assistments_2021,20260202,True,d1,Control,0.0195191488554121,0.0167590296855844,0.0221555361612142,positive
assistments_2021,20260202,True,d7,Control,0.0210777410501012,0.0168043698657861,0.0252355402806056,positive
assistments_2021,20260202,True,d1,DKT-F,-0.0087097270332124,-0.0125455146197867,-0.0051289206890309,negative
assistments_2021,20260202,True,d7,DKT-F,-0.0092093396861292,-0.0155490657969319,-0.0026779118937515,negative
assistments_2021,20260203,False,d1,Control,0.0201847674394703,0.0174894113962571,0.0229277059309188,positive
assistments_2021,20260203,False,d7,Control,0.0140931302328906,0.0098061989798759,0.0185541495808628,positive
assistments_2021,20260203,False,d1,DKT-F,-0.0074923208511855,-0.0106539638860644,-0.0040205296252883,negative
assistments_2021,20260203,False,d7,DKT-F,-0.0084048144950628,-0.014507596259198,-0.0023039854290565,negative
assistments_2021,20260204,False,d1,Control,0.0150849257362795,0.012534147417154,0.017650051482263,positive
assistments_2021,20260204,False,d7,Control,0.0089909266685915,0.0046871136656095,0.013427587717638,positive
assistments_2021,20260204,False,d1,DKT-F,-0.0084619299237123,-0.0119244086428645,-0.0050854106355123,negative
assistments_2021,20260204,False,d7,DKT-F,-0.0022770256271311,-0.0087838485536533,0.0039636664026752,inconclusive (CI spans zero)
ednet_flat,20260202,True,d1,Control,0.0060991484762924,0.0010670015807869,0.0110403819679547,positive
ednet_flat,20260202,True,d7,Control,0.0089466297484411,0.0009426290935117,0.0172822519571556,positive
ednet_flat,20260202,True,d1,DKT-F,0.0044739277735591,-0.0011817781358041,0.0100399205257567,inconclusive (CI spans zero)
ednet_flat,20260202,True,d7,DKT-F,0.0033951480824981,-0.0070848220539857,0.0133050087689733,inconclusive (CI spans zero)
ednet_flat,20260202,True,d1,DKT,0.0004758444640423,-0.0049937784486976,0.0058073755494884,inconclusive (CI spans zero)
ednet_flat,20260202,True,d7,DKT,-0.0068854323768128,-0.0166069123590256,0.0025239078739373,inconclusive (CI spans zero)
ednet_flat,20260203,False,d1,Control,0.0059799488732312,0.0011662727473233,0.0107328474669598,positive
ednet_flat,20260203,False,d7,Control,0.0095670788939107,0.0007747622879122,0.0178327923072482,positive
ednet_flat,20260203,False,d1,DKT-F,0.0017520973638468,-0.0036713649491095,0.0075105188641086,inconclusive (CI spans zero)
ednet_flat,20260203,False,d7,DKT-F,0.0066874731815208,-0.0032060631975445,0.0164897643221484,inconclusive (CI spans zero)
ednet_flat,20260204,False,d1,Control,0.0022127123860369,-0.0025120417120884,0.0067994694250314,inconclusive (CI spans zero)
ednet_flat,20260204,False,d7,Control,-0.0028293633532865,-0.0106931118425951,0.0051680486749214,inconclusive (CI spans zero)
ednet_flat,20260204,False,d1,DKT-F,-0.0021763295179365,-0.0075273456409802,0.0031272326968129,inconclusive (CI spans zero)
ednet_flat,20260204,False,d7,DKT-F,-0.0043169676671952,-0.0136581901746689,0.0047121403322364,inconclusive (CI spans zero)
ednet_flat,20260204,False,d1,DKT,0.001900221067055,-0.0037174144034151,0.0074164838538055,inconclusive (CI spans zero)
ednet_flat,20260204,False,d7,DKT,-0.011111816422003,-0.0213633211770781,-0.0012390705975725,negative
junyi,20260202,True,d1,Control,0.0108786598612976,0.0082923610686248,0.0134251022358389,positive
junyi,20260202,True,d7,Control,0.0077272683932245,0.0037457337973134,0.0115653211337538,positive
junyi,20260202,True,d28,Control,0.0042232496556928,-0.0008952081557064,0.0095475048395565,inconclusive (CI spans zero)
junyi,20260202,True,d1,DKT-F,0.0034516545054172,-0.0013942299957401,0.0084510219646165,inconclusive (CI spans zero)
junyi,20260202,True,d7,DKT-F,0.0062001138761992,-0.0014726600051355,0.0138548755016182,inconclusive (CI spans zero)
junyi,20260202,True,d28,DKT-F,0.0125438582647759,0.0008692923038109,0.0238879001966222,positive
junyi,20260202,True,d1,DKVMN,-0.0128359117452366,-0.0162282642309824,-0.0094233571107034,negative
junyi,20260202,True,d7,DKVMN,-0.0197788057988775,-0.0253248637417543,-0.0143445038950215,negative
junyi,20260202,True,d28,DKVMN,-0.0191645161210854,-0.0270467737521912,-0.0110224339883397,negative
junyi,20260203,False,d1,Control,0.0078114502924983,0.0055300815048879,0.0102333323933645,positive
junyi,20260203,False,d7,Control,0.0127082830264588,0.0090161568860987,0.0163060783103031,positive
junyi,20260203,False,d28,Control,0.009803038443362,0.0042171411925514,0.0151735110198415,positive
junyi,20260203,False,d1,DKT-F,0.0060505950464849,0.001491687827705,0.0104650864726601,positive
junyi,20260203,False,d7,DKT-F,0.007683032510379,2.981446885780837e-05,0.0151734219674056,positive
junyi,20260203,False,d28,DKT-F,0.002163537928888,-0.0090377142432871,0.0130229157325788,inconclusive (CI spans zero)
junyi,20260203,False,d1,DKVMN,-0.0168330418730726,-0.0202530784583974,-0.0132384623782377,negative
junyi,20260203,False,d7,DKVMN,-0.0182874954173076,-0.0240222367620806,-0.0127206554788394,negative
junyi,20260203,False,d28,DKVMN,-0.0220823335738222,-0.030475682069825,-0.0136832101962556,negative
junyi,20260204,False,d1,Control,0.0071965251545118,0.0047293306925713,0.0094961140621342,positive
junyi,20260204,False,d7,Control,0.0098710264673786,0.0066523209935747,0.013194803631072,positive
junyi,20260204,False,d28,Control,0.0082770877791557,0.0031736394649695,0.0134650075819041,positive
junyi,20260204,False,d1,DKT-F,0.003281671409284,-0.0010247514892701,0.0079838428301079,inconclusive (CI spans zero)
junyi,20260204,False,d7,DKT-F,0.0049132757735689,-0.0021986640970173,0.0117528598454155,inconclusive (CI spans zero)
junyi,20260204,False,d28,DKT-F,0.0155309033250327,0.0050745746203779,0.0264467749684898,positive
junyi,20260204,False,d1,DKVMN,-0.0166724573879325,-0.0199842634382597,-0.0129061987957017,negative
junyi,20260204,False,d7,DKVMN,-0.0176795070331863,-0.0227147435936066,-0.0127460292544452,negative
junyi,20260204,False,d28,DKVMN,-0.0151517201187625,-0.0227192204388399,-0.0072607841956773,negative
